"age","female","voted_gen_14","voted_gen_12","treat_ind","racename","democrat","therm_trans_t0","therm_trans_t1","therm_trans_t2","therm_trans_t3","therm_trans_t4","therm_obama_t0","therm_obama_t1","therm_obama_t2","therm_obama_t4"
43,1,0,1,0,"Hispanic",0,50,67,73,79,66,32,50,25,30
45,0,0,1,0,"Hispanic",0,50,50,50,50,51,50,13,0,50
51,1,1,1,1,"African American",1,50,NA,NA,NA,NA,50,NA,NA,NA
31,0,0,0,1,"African American",1,50,NA,NA,NA,NA,50,NA,NA,NA
30,0,0,0,1,"African American",1,50,NA,NA,NA,NA,50,NA,NA,NA
50,0,1,1,0,"Caucasian",1,50,NA,NA,NA,NA,92,NA,NA,NA
33,0,1,1,1,"Caucasian",0,50,50,50,50,70,100,100,90,50
19,0,0,0,0,"Hispanic",0,0,50,40,45,40,70,50,50,50
28,0,0,0,0,"African American",1,0,NA,NA,NA,NA,100,NA,NA,NA
56,1,0,1,0,"African American",1,33,NA,NA,NA,NA,100,NA,NA,NA
39,1,0,0,1,"African American",1,32,50,50,50,50,94,50,90,70
60,1,1,1,1,"Hispanic",0,50,NA,NA,NA,NA,100,NA,NA,NA
36,1,0,0,1,"African American",1,2,4,0,0,0,100,50,86,71
25,1,1,1,0,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
30,0,0,0,0,"Hispanic",0,0,NA,NA,NA,NA,83,NA,NA,NA
25,0,0,1,0,"Hispanic",0,21,NA,NA,NA,NA,50,NA,NA,NA
25,0,0,1,1,"African American",1,0,NA,NA,NA,NA,70,NA,NA,NA
41,0,1,1,0,"African American",1,50,NA,NA,NA,NA,100,NA,NA,NA
18,0,0,0,0,"Hispanic",0,50,NA,NA,NA,NA,84,NA,NA,NA
64,1,0,0,0,"Hispanic",1,50,NA,NA,NA,NA,50,NA,NA,NA
54,1,1,1,1,"Caucasian",1,50,NA,NA,NA,NA,50,NA,NA,NA
58,1,1,1,0,"African American",1,58,NA,NA,NA,NA,100,NA,NA,NA
30,0,0,0,1,"Hispanic",0,26,NA,NA,NA,NA,21,NA,NA,NA
28,1,1,1,1,"Caucasian",0,50,NA,NA,NA,NA,0,NA,NA,NA
28,1,0,1,0,"African American",1,80,NA,NA,NA,NA,92,NA,NA,NA
54,1,1,1,1,"Hispanic",1,21,NA,NA,NA,NA,81,NA,NA,NA
51,0,0,1,0,"Hispanic",1,0,NA,NA,NA,NA,82,NA,NA,NA
37,1,0,1,0,"Caucasian",0,50,45,48,50,NA,1,0,19,NA
62,0,1,1,1,"Hispanic",1,50,60,50,80,72,100,90,90,100
51,1,0,0,1,"Hispanic",1,50,41,NA,NA,50,51,50,NA,50
42,1,1,1,0,"African American",1,50,51,50,37,28,100,50,100,100
51,0,1,1,0,"African American",1,13,0,0,0,0,100,100,100,50
37,1,1,1,0,"Hispanic",0,50,NA,NA,NA,NA,75,NA,NA,NA
87,1,1,1,0,"Caucasian",1,50,NA,NA,NA,NA,52,NA,NA,NA
54,0,1,1,0,"Hispanic",1,50,NA,NA,NA,NA,95,NA,NA,NA
