"date","active.calories","steps","weight","steps.lag","calorie.lag"
2017-03-06,1110.2,18.46,156,14.16,774.5
2017-03-07,1018.9,15.75,159.7,18.46,1110.2
2017-03-08,567.8,10.87,160.2,15.75,1018.9
2017-03-09,1162.5,19.85,158.4,10.87,567.8
2017-03-10,1118.1,18.26,159.4,19.85,1162.5
2017-03-12,338.1,7.05,155.9,18.26,1118.1
2017-03-13,550.5,7.56,157.2,7.05,338.1
2017-03-18,754.7,14.9,158.8,7.56,550.5
2017-03-19,765.2,13.03,158.7,14.9,754.7
2017-03-20,1122.7,18.91,156.3,13.03,765.2
2017-03-21,1119.5,18.56,158.7,18.91,1122.7
2017-03-22,499.9,9.29,158.8,18.56,1119.5
2017-03-23,615.9,12.49,158.8,9.29,499.9
2017-03-24,1133.6,18.56,159,12.49,615.9
2017-03-25,779.6,14.92,158,18.56,1133.6
2017-03-26,364.8,7.62,154.6,14.92,779.6
2017-03-27,484.7,11.01,157.7,7.62,364.8
2017-03-28,535.8,10.9,157.1,11.01,484.7
2017-03-29,694.6,14.01,156.9,10.9,535.8
2017-03-30,676.9,13.62,157.3,14.01,694.6
2017-04-01,374.1,8.87,157.9,13.62,676.9
2017-04-02,528.1,12.83,158,8.87,374.1
2017-04-03,1013,17.79,154.9,12.83,528.1
2017-04-04,1030.5,15.86,156.8,17.79,1013
2017-04-05,938,13.69,156.2,15.86,1030.5
